,optimization_step,mean_return,std_of_return
0,0,0.4805939387125324,0.0
1,100,0.47407843441032327,0.0
2,200,0.43599817647072087,0.0
3,300,0.539574269567997,0.0
4,400,0.44671425550440186,0.0
5,500,0.42759675551167414,0.0
6,600,0.3756088480949654,0.0
7,700,0.35039914193906946,0.0
8,800,0.37000884210325713,0.0
9,900,0.4607170461808613,0.0
10,1000,0.28954680494617413,0.0
11,1100,0.4243566500845951,0.0
12,1200,0.44239894197183144,0.0
13,1300,0.45091944522060223,0.0
14,1400,0.4435651803308047,0.0
15,1500,0.49793452399438204,0.0
16,1600,0.5189880509430458,0.0
